strategyName,manager,category,aumCr,minInvestmentL,returns1m,returns3m,returns6m,returns1y,returns2y,returns3y,returns4y,returns5y,sinceInception,feesFixed,feesPerformance,feesHurdle,asOfDate,source,notes
KRIIS HIGH GROWTH STRATEGY,KRIIS PORTFOLIO PRIVATE LIMITED,,135.03,50,14.91,58.25,35.82,31.29,34.00,,,,38.89,,,,2026-06-30,APMI monthly report Jun 2026,
MONEYGROW SMALL MIDCAP,Moneygrow Asset Private Limited,,153.00,50,14.54,75.25,37.84,4.45,12.68,,,,20.38,,,,2026-06-30,APMI monthly report Jun 2026,
EQUIRUS LONG HORIZON FUND,Equirus Wealth Private Limited,,368.85,50,14.49,41.41,18.12,14.87,8.24,17.53,20.32,13.01,20.92,,,,2026-06-30,APMI monthly report Jun 2026,
KRIIS MULTICAP FUND STRATEGY,KRIIS PORTFOLIO PRIVATE LIMITED,,359.87,50,13.69,53.28,33.46,26.64,20.32,28.74,27.81,20.05,24.12,,,,2026-06-30,APMI monthly report Jun 2026,
Aurum Small Cap Plus,Nine Rivers Capital Holdings Private Limited,,9.93,50,12.38,41.20,10.21,-1.09,0.90,8.93,16.93,10.44,12.93,,,,2026-06-30,APMI monthly report Jun 2026,
IMPERIAL INDIA FOCUSED EQUITY,Ghalla Bhansali Stock Brokers Pvt Ltd,,31.98,50,12.17,57.64,17.73,13.04,5.09,22.39,24.38,19.69,15.51,,,,2026-06-30,APMI monthly report Jun 2026,
Samatva Small Cap Strategy,SAMATVA INVESTMENT ADVISERS LLP,,105.92,50,12.02,39.92,19.95,,,,,,15.57,,,,2026-06-30,APMI monthly report Jun 2026,
EMERGING LEADERS,Solidarity Advisors Private Limited,,107.84,50,12.00,52.28,35.50,14.34,13.41,15.16,,,15.63,,,,2026-06-30,APMI monthly report Jun 2026,
AMALTAS STRATEGIC OPPORTUNITIES SERIES I,Amaltas Asset Management LLP,,5.37,50,11.92,34.84,19.27,,,,,,34.21,,,,2026-06-30,APMI monthly report Jun 2026,
WHITE WHALE PARTNERS LLP-RISING STAR PF,White Whale Partners,,4.95,50,11.86,35.11,15.15,18.20,,,,,17.10,,,,2026-06-30,APMI monthly report Jun 2026,
Emerging Dominators Plus,Piper Serica Advisors Private Limited,,3.75,50,11.51,33.08,21.19,11.99,7.95,,,,13.55,,,,2026-06-30,APMI monthly report Jun 2026,
Clockvine Growth Fund,CLOCKVINE CAPITAL ADVISORS PRIVATE LIMITED,,97.21,50,11.41,33.15,15.43,19.71,13.21,,,,17.43,,,,2026-06-30,APMI monthly report Jun 2026,
East Green Agile Strategy,East Green Advisors LLP,,71.33,50,11.35,29.86,16.07,17.16,8.54,0.00,,,15.62,,,,2026-06-30,APMI monthly report Jun 2026,
VARANIUM G2G INDIA PORTFOLIO - 00010051,VARANIUM CAPITAL ADVISORS PRIVATE LIMITED,,34.05,50,11.34,50.56,18.61,0.25,2.48,19.17,19.51,12.83,15.66,,,,2026-06-30,APMI monthly report Jun 2026,
SAVVY DEFAULT,Savvy Capital Advisors Llp,,875.31,50,11.26,48.73,19.26,0.87,0.09,20.44,27.46,23.05,24.07,,,,2026-06-30,APMI monthly report Jun 2026,
Sparkling Gems,TRADESWIFT BROKING PRIVATE LIMITED,,13.48,50,11.16,37.77,20.47,,,,,,15.78,,,,2026-06-30,APMI monthly report Jun 2026,
Accelt Long Term Equity Fund,ACCELT ASSET MANAGEMENT LLP,,12.47,50,10.97,25.99,14.20,8.49,,,,,12.60,,,,2026-06-30,APMI monthly report Jun 2026,
Electrum Laureate Portfolio,Electrum Portfolio Managers Pvt Limited,,658.96,50,10.94,36.36,15.40,11.88,12.38,23.84,26.59,22.45,30.23,,,,2026-06-30,APMI monthly report Jun 2026,
EQUITREE EMERGING OPPORTUNITIES,Equitree Capital Advisors Private Limited,,1512.21,50,10.76,34.06,5.81,-2.59,5.18,27.19,29.00,23.23,7.90,,,,2026-06-30,APMI monthly report Jun 2026,
AVERRA ASSET MANAGERS LLP-LONG TERM GROWTH AT FAIR VALUE,AVERRA ASSET MANAGERS LLP,,43.95,50,10.71,41.17,,,,,,,26.29,,,,2026-06-30,APMI monthly report Jun 2026,
SBI Aeon Alpha Portfolio,SBI Funds Management Limited,,735.68,50,10.50,25.57,18.07,13.72,5.19,16.37,18.70,,14.97,,,,2026-06-30,APMI monthly report Jun 2026,
NUCLEUS,Ghalla Bhansali Stock Brokers Pvt Ltd,,71.19,50,10.44,37.98,17.08,1.96,-0.35,,,,4.37,,,,2026-06-30,APMI monthly report Jun 2026,
GREEN PORTFOLIO MNC ADVANTAGE FUND,Green Portfolio Private Limited,,9.76,50,10.35,32.10,12.96,4.33,2.30,17.64,20.90,17.77,21.58,,,,2026-06-30,APMI monthly report Jun 2026,
Piper Serica Leader Portfolio Strategy,Piper Serica Advisors Private Limited,,1002.98,50,10.33,31.32,18.25,11.16,7.16,18.16,20.32,13.49,16.67,,,,2026-06-30,APMI monthly report Jun 2026,
THINQWISE INDIA LONG TERM FUND,THINQWISE WEALTH MANAGERS LLP,,45.48,50,10.30,25.95,3.93,-0.65,3.13,10.21,,,10.66,,,,2026-06-30,APMI monthly report Jun 2026,
CENTRUM MICROCAP NRI,Centrum Investment Advisers Limited,,0.58,50,10.25,31.51,17.92,,,,,,1.50,,,,2026-06-30,APMI monthly report Jun 2026,
CENTRUM MICROCAP PORTFOLIO.,Centrum Investment Advisers Limited,,11.45,50,10.17,35.58,14.17,7.39,1.89,14.87,19.94,17.15,16.31,,,,2026-06-30,APMI monthly report Jun 2026,
Bin73 SunriseAlpha,WAYA FINANCIAL TECHNOLOGIES PRIVATE LIMITED,,45.81,50,10.02,41.59,18.30,9.69,,,,,9.60,,,,2026-06-30,APMI monthly report Jun 2026,
SBI ALPHA EDGE,SBI Funds Management Limited,,830.02,50,10.01,34.57,27.91,,,,,,27.91,,,,2026-06-30,APMI monthly report Jun 2026,
Electrum Novogram Excel Strategy,Electrum Portfolio Managers Pvt Limited,,7.01,50,9.90,34.41,13.80,9.78,,,,,-1.91,,,,2026-06-30,APMI monthly report Jun 2026,
LEAPFROG,Ghalla Bhansali Stock Brokers Pvt Ltd,,49.22,50,9.88,43.96,12.70,-1.16,-6.34,,,,3.45,,,,2026-06-30,APMI monthly report Jun 2026,
Chanakya Wealth Creation Plan,Trust Investment Advisors Pvt. Ltd.,,750.89,50,9.83,22.90,-3.39,-9.90,-1.98,3.26,8.17,3.59,13.45,,,,2026-06-30,APMI monthly report Jun 2026,
Alpha Portfolio,VARANIUM CAPITAL ADVISORS PRIVATE LIMITED,,9.50,50,9.80,20.30,-4.47,-1.86,144.42,125.28,95.58,69.98,23.03,,,,2026-06-30,APMI monthly report Jun 2026,
Wallfort India Contra Equity Fund,Wallfort Fund Management Llp,,35.67,50,9.79,36.58,10.54,3.28,12.83,,,,23.48,,,,2026-06-30,APMI monthly report Jun 2026,
MAJESTIC,Ghalla Bhansali Stock Brokers Pvt Ltd,,14.33,50,9.75,48.50,14.73,6.20,1.83,,,,11.47,,,,2026-06-30,APMI monthly report Jun 2026,
Ventura Microcap Intelligence Thematic Management Scheme,Ventura Securities Limited,,2.24,50,9.75,34.06,19.22,7.99,,,,,6.57,,,,2026-06-30,APMI monthly report Jun 2026,
